SYNSscene,SYNSView
1,1
1,3
1,5
1,7
1,9
1,11
1,13
1,15
1,17
2,1
2,3
2,5
2,7
2,9
2,11
2,13
2,15
2,17
3,1
3,3
3,5
3,7
3,9
3,11
3,13
3,15
3,17
4,1
4,3
4,5
4,7
4,9
4,11
4,13
4,15
4,17
5,1
5,3
5,5
5,7
5,9
5,11
5,13
5,15
5,17
6,1
6,3
6,5
6,7
6,9
6,11
6,13
6,15
6,17
7,1
7,3
7,5
7,7
7,9
7,11
7,13
7,15
7,17
8,1
8,3
8,5
8,7
8,9
8,11
8,13
8,15
8,17
9,1
9,3
9,5
9,7
9,9
9,11
9,13
9,15
9,17
10,1
10,3
10,5
10,7
10,9
10,11
10,13
10,15
10,17
11,1
11,3
11,5
11,7
11,9
11,11
11,13
11,15
11,17
12,1
12,3
12,5
12,7
12,9
12,11
12,13
12,15
12,17
13,1
13,3
13,5
13,7
13,9
13,11
13,13
13,15
13,17
14,1
14,3
14,5
14,7
14,9
14,11
14,13
14,15
14,17
15,1
15,3
15,5
15,7
15,9
15,11
15,13
15,15
15,17
16,1
16,3
16,5
16,7
16,9
16,11
16,13
16,15
16,17
17,1
17,3
17,5
17,7
17,9
17,11
17,13
17,15
17,17
18,1
18,3
18,5
18,7
18,9
18,11
18,13
18,15
18,17
19,1
19,3
19,5
19,7
19,9
19,11
19,13
19,15
19,17
20,1
20,3
20,5
20,7
20,9
20,11
20,13
20,15
20,17
21,1
21,3
21,5
21,7
21,9
21,11
21,13
21,15
21,17
22,1
22,3
22,5
22,7
22,9
22,11
22,13
22,15
22,17
23,1
23,3
23,5
23,7
23,9
23,11
23,13
23,15
23,17
24,1
24,3
24,5
24,7
24,9
24,11
24,13
24,15
24,17
25,1
25,3
25,5
25,7
25,9
25,11
25,13
25,15
25,17
26,1
26,3
26,5
26,7
26,9
26,11
26,13
26,15
26,17
27,1
27,3
27,5
27,7
27,9
27,11
27,13
27,15
27,17
28,1
28,3
28,5
28,7
28,9
28,11
28,13
28,15
28,17
29,1
29,3
29,5
29,7
29,9
29,11
29,13
29,15
29,17
30,1
30,3
30,5
30,7
30,9
30,11
30,13
30,15
30,17
31,1
31,3
31,5
31,7
31,9
31,11
31,13
31,15
31,17
32,1
32,3
32,5
32,7
32,9
32,11
32,13
32,15
32,17
33,1
33,3
33,5
33,7
33,9
33,11
33,13
33,15
33,17
34,1
34,3
34,5
34,7
34,9
34,11
34,13
34,15
34,17
35,1
35,3
35,5
35,7
35,9
35,11
35,13
35,15
35,17
36,1
36,3
36,5
36,7
36,9
36,11
36,13
36,15
36,17
37,1
37,3
37,5
37,7
37,9
37,11
37,13
37,15
37,17
38,1
38,3
38,5
38,7
38,9
38,11
38,13
38,15
38,17
39,1
39,3
39,5
39,7
39,9
39,11
39,13
39,15
39,17
40,1
40,3
40,5
40,7
40,9
40,11
40,13
40,15
40,17
41,1
41,3
41,5
41,7
41,9
41,11
41,13
41,15
41,17
42,1
42,3
42,5
42,7
42,9
42,11
42,13
42,15
42,17
43,1
43,3
43,5
43,7
43,9
43,11
43,13
43,15
43,17
44,1
44,3
44,5
44,7
44,9
44,11
44,13
44,15
44,17
45,1
45,3
45,5
45,7
45,9
45,11
45,13
45,15
45,17
46,1
46,3
46,5
46,7
46,9
46,11
46,13
46,15
46,17
47,1
47,3
47,5
47,7
47,9
47,11
47,13
47,15
47,17
48,1
48,3
48,5
48,7
48,9
48,11
48,13
48,15
48,17
49,1
49,3
49,5
49,7
49,9
49,11
49,13
49,15
49,17
50,1
50,3
50,5
50,7
50,9
50,11
50,13
50,15
50,17
51,1
51,3
51,5
51,7
51,9
51,11
51,13
51,15
51,17
52,1
52,3
52,5
52,7
52,9
52,11
52,13
52,15
52,17
53,1
53,3
53,5
53,7
53,9
53,11
53,13
53,15
53,17
54,1
54,3
54,5
54,7
54,9
54,11
54,13
54,15
54,17
55,1
55,3
55,5
55,7
55,9
55,11
55,13
55,15
55,17
56,1
56,3
56,5
56,7
56,9
56,11
56,13
56,15
56,17
57,1
57,3
57,5
57,7
57,9
57,11
57,13
57,15
57,17
58,1
58,3
58,5
58,7
58,9
58,11
58,13
58,15
58,17
59,1
59,3
59,5
59,7
59,9
59,11
59,13
59,15
59,17
60,1
60,3
60,5
60,7
60,9
60,11
60,13
60,15
60,17
61,1
61,3
61,5
61,7
61,9
61,11
61,13
61,15
61,17
62,1
62,3
62,5
62,7
62,9
62,11
62,13
62,15
62,17
63,1
63,3
63,5
63,7
63,9
63,11
63,13
63,15
63,17
64,1
64,3
64,5
64,7
64,9
64,11
64,13
64,15
64,17
65,1
65,3
65,5
65,7
65,9
65,11
65,13
65,15
65,17
66,1
66,3
66,5
66,7
66,9
66,11
66,13
66,15
66,17
67,1
67,3
67,5
67,7
67,9
67,11
67,13
67,15
67,17
68,1
68,3
68,5
68,7
68,9
68,11
68,13
68,15
68,17
69,1
69,3
69,5
69,7
69,9
69,11
69,13
69,15
69,17
70,1
70,3
70,5
70,7
70,9
70,11
70,13
70,15
70,17
71,1
71,3
71,5
71,7
71,9
71,11
71,13
71,15
71,17
72,1
72,3
72,5
72,7
72,9
72,11
72,13
72,15
72,17
73,1
73,3
73,5
73,7
73,9
73,11
73,13
73,15
73,17
74,1
74,3
74,5
74,7
74,9
74,11
74,13
74,15
74,17
75,1
75,3
75,5
75,7
75,9
75,11
75,13
75,15
75,17
76,1
76,3
76,5
76,7
76,9
76,11
76,13
76,15
76,17
77,1
77,3
77,5
77,7
77,9
77,11
77,13
77,15
77,17
78,1
78,3
78,5
78,7
78,9
78,11
78,13
78,15
78,17
79,1
79,3
79,5
79,7
79,9
79,11
79,13
79,15
79,17
80,1
80,3
80,5
80,7
80,9
80,11
80,13
80,15
80,17
